,N16,T
0,0.95697681953125,1.8
1,0.9392592578125,1.8894736842105264
2,0.9184488140625,1.9789473684210526
3,0.88528680703125,2.068421052631579
4,0.83107629375,2.1578947368421053
5,0.74443755859375,2.2473684210526317
6,0.61304030234375,2.336842105263158
7,0.49028811328125,2.4263157894736844
8,0.360594134375,2.515789473684211
9,0.304767009375,2.605263157894737
10,0.25486105703125,2.694736842105263
11,0.22423026328125,2.7842105263157895
12,0.195380040625,2.873684210526316
13,0.18006144921875,2.963157894736842
14,0.1651802171875,3.052631578947368
15,0.151519175,3.1421052631578945
16,0.14250753359375,3.231578947368421
17,0.1368316234375,3.3210526315789473
18,0.1303388796875,3.4105263157894736
19,0.1238141390625,3.5
