,N64,T
0,0.9568826675048828,1.8
1,0.94047539609375,1.8894736842105264
2,0.9176034763916016,1.9789473684210526
3,0.8848745387939453,2.068421052631579
4,0.8307077506347657,2.1578947368421053
5,0.7084692442626953,2.2473684210526317
6,0.32603323366699216,2.336842105263158
7,0.1346766604736328,2.4263157894736844
8,0.09664594165039063,2.515789473684211
9,0.06554824152832031,2.605263157894737
10,0.060087802319335935,2.694736842105263
11,0.05504861650390625,2.7842105263157895
12,0.048932632299804685,2.873684210526316
13,0.0446413251953125,2.963157894736842
14,0.039501089184570314,3.052631578947368
15,0.03967059677734375,3.1421052631578945
16,0.03777835656738281,3.231578947368421
17,0.032941695776367186,3.3210526315789473
18,0.031091701513671875,3.4105263157894736
19,0.030844568774414063,3.5
