,N32,T
0,0.9563839998046875,1.8
1,0.9405205373046875,1.8894736842105264
2,0.9165125560546875,1.9789473684210526
3,0.8836006125,2.068421052631579
4,0.831756123046875,2.1578947368421053
5,0.70786254609375,2.2473684210526317
6,0.4348925830078125,2.336842105263158
7,0.2808744626953125,2.4263157894736844
8,0.1799327341796875,2.515789473684211
9,0.1557638005859375,2.605263157894737
10,0.130301955078125,2.694736842105263
11,0.1044503775390625,2.7842105263157895
12,0.0932599337890625,2.873684210526316
13,0.0888885875,2.963157894736842
14,0.084516812890625,3.052631578947368
15,0.0788163240234375,3.1421052631578945
16,0.07052529609375,3.231578947368421
17,0.0668101111328125,3.3210526315789473
18,0.06506487578125,3.4105263157894736
19,0.061116341796875,3.5
