x, y
1.6962513781697905, 0.9699570815450643
1.9470782800441013, 0.9284692417739628
2.1323042998897463, 0.8526466380543634
2.205622932745314, 0.7911301859799714
2.267364939360529, 0.7296137339055794
2.3213891951488423, 0.648068669527897
2.3715545755237044, 0.5736766809728183
2.4101433296582138, 0.5164520743919886
2.452590959206174, 0.45779685264663805
2.529768467475193, 0.3748211731044349
2.622381477398015, 0.28898426323319026
2.7265711135611905, 0.24177396280400573
2.8577728776185225, 0.20314735336194564
3.008269018743109, 0.17024320457796852
3.1549062844542446, 0.15164520743919885
3.313120176405733, 0.13590844062947066
3.4674751929437706, 0.12589413447782546
3.644983461962514, 0.11587982832618025
3.7954796030871, 0.11015736766809728
3.9459757442116867, 0.1044349070100143
